"","Name","City","State","Sector","Level of institution","Historically Black College or University","Tribal college","Undergraduate enrollment","Grad enrollment","Yield","Admission","Graduation","First year retention","Walkability","Undergrads per tenure-track professor","Undergrads per instructor","URL","Tuition and fees as a percent of core revenues","Endowment assets per FTE","Average net price-students awarded grant or scholarship aid","Liquor discipline per student (3 yr avg)","Liquor arrest per student (3 yr avg)","Drug discipline per student (3 yr avg)","Drug arrest per student (3 yr avg)","Weapon discipline per student (3 yr avg)","Weapon arrest per student (3 yr avg)","Reported rape per student (3 yr avg)","Reported fondling per student (3 yr avg)","Number of physical books","Number of physical media","Number of digital/electronic books","Total library circulations (physical and digital/electronic)","Average library loans (physical) per student or faculty member","Average library loans (physical + digital) per student or faculty member","Warmest month max temp (F)","Coldest month min temp (F)","Annual precipitation (inches)","biome","Covid vax (employees)","Covid vax (students)","Abortion","Gun law stringency","Proportion of reps voting in favor of respect for right to contraception act","Proportion of reps voting in favor of respect for marriage act"
"252","Judson University (Elgin, IL)","Elgin","IL","Private not-for-profit, 4-year or above","Four or more years","No","No",944,144,0.29,0.39,0.57,0.76,0.64,41,22,"JudsonUniversity.html",86,5373,16039,0.00643382352941177,0,0.00428921568627451,0,0,0,0,0.000306372549019608,"121582","46807","6280","3052",2.6,2.7,83.8,10.9,36,"Temperate Grasslands, Savannas & Shrublands","Yes","Yes","Legal","A-",0.777777777777778,0.833333333333333
"253","SUNY College at Geneseo (Geneseo, NY)","Geneseo","NY","Public, 4-year or above","Four or more years","No","No",5153,48,0.18,0.65,0.8,0.85,0.52,25.3,20.4,"SUNYCollegeatGeneseo.html",27,5847,18684,0.0169839133499968,0.0007690828686791,0.00653720438377235,0.00429404601679164,0.000192270717169775,6.40902390565917e-05,0.000256360956226367,0.000256360956226367,"271033","5239","56312","44285",5.3,8.1,81.5,15.1,31.4,"Temperate Broadleaf & Mixed Forests","Yes","Yes","Legal","A-",0.76,0.96
"254","Rosedale Technical College (Pittsburgh, PA)","Pittsburgh","PA","Private not-for-profit, 2-year","At least 2 but less than 4 years","No","No",362,0,0.79,0.6,0.79,0.7,0.52,Inf,12.9,"RosedaleTechnicalCollege.html",73,NA,19732,0,0,0,0,0,0,0,0,"427","27","0","4487",0,11.5,83.5,17.8,38,"Temperate Broadleaf & Mixed Forests","No","No","Legal","B-",0.555555555555556,0.666666666666667
"255","Florida Southern College (Lakeland, FL)","Lakeland","FL","Private not-for-profit, 4-year or above","Four or more years","No","No",2537,401,0.16,0.52,0.68,0.82,0.34,24.6,16.1,"FloridaSouthernCollege.html",76,29963,27091,0.0530973451327434,0,0.00612661674608577,0.00022691173133651,0.000340367597004765,0,0.0010211027910143,0.00090764692534604,"170528","10107","144176","108096",5,34.9,91,49.3,48.1,"Temperate Conifer Forests","No","No","Legal","C-",0.444444444444444,0.62962962962963
"256","Lawrence University (Appleton, WI)","Appleton","WI","Private not-for-profit, 4-year or above","Four or more years","No","No",1348,0,0.18,0.62,0.79,0.87,0.36,9.2,7.7,"LawrenceUniversity.html",39,240214,26594,0.0131058358061325,0.00173095944609298,0.0259643916913947,0.00148367952522255,0,0,0.00519287833827893,0.000989119683481701,"556067","32776","220704","18137",11.4,11.9,82,6.6,30.5,"Temperate Broadleaf & Mixed Forests","No","Yes","Prohibited","C-",0.375,0.5
"257","Rollins College (Winter Park, FL)","Winter Park","FL","Private not-for-profit, 4-year or above","Four or more years","No","No",2482,278,0.15,0.58,0.74,0.87,0.49,14.1,11,"RollinsCollege.html",66,105103,33216,0.0260869565217391,0,0.0119565217391304,0.000241545893719807,0.000120772946859903,0,0.00205314009661836,0.00132850241545894,"182567","7537","245392","71322",15.7,23.9,91.2,48,49.8,"Temperate Conifer Forests","No","No","Legal","C-",0.444444444444444,0.62962962962963
"258","College of Idaho (Caldwell, ID)","Caldwell","ID","Private not-for-profit, 4-year or above","Four or more years","No","No",1051,9,0.31,0.49,0.66,0.78,0.55,19.5,14.6,"CollegeofIdaho.html",40,110801,21343,0.00566037735849057,0.00157232704402516,0.00691823899371069,0.000943396226415094,0.000943396226415094,0.000314465408805031,0.00345911949685535,0.00188679245283019,"87235","3036","37787","14497",8.8,12.8,91.4,20.7,10.9,"Deserts & Xeric Shrublands","No","No","Prohibited","F",0,0.5
"259","University of Tampa (Tampa, FL)","Tampa","FL","Private not-for-profit, 4-year or above","Four or more years","No","No",8441,378,0.2,0.45,0.58,0.77,0.58,29.4,22.9,"UniversityofTampa.html",87,4379,33020,0.0884831991533432,0,0.0319008201988132,0.00113391540991042,0,0,0.000604754885285558,0.000377971803303474,"237771","72665","78646","14487",1.3,1.6,90.3,50,45.6,"Temperate Conifer Forests","No","No","Legal","C-",0.444444444444444,0.62962962962963
"260","Berklee College of Music (Boston, MA)","Boston","MA","Private not-for-profit, 4-year or above","Four or more years","No","No",5041,476,0.38,0.51,0.65,0.86,0.65,Inf,14.4,"BerkleeCollegeofMusic.html",88,53632,42952,0.00598151169113649,0,0.00779409099148088,0,0,0,0.000241677240045919,0.000543773790103317,"57212","74809","140312","244491",5.1,41.7,82.8,18,44.2,"Temperate Broadleaf & Mixed Forests","Yes","Yes","Legal","A-",1,1
"261","Illinois Wesleyan University (Bloomington, IL)","Bloomington","IL","Private not-for-profit, 4-year or above","Four or more years","No","No",1616,0,0.18,0.61,0.77,0.84,0.6,13.7,12.6,"IllinoisWesleyanUniversity.html",54,126596,32545,0.0406353135313531,0,0.015470297029703,0,0,0,0.00144389438943894,0.00165016501650165,"196242","11079","53999","45545",7.2,26.1,86.5,14.7,37.3,"Temperate Grasslands, Savannas & Shrublands","Yes","Yes","Legal","A-",0.777777777777778,0.833333333333333
"262","William Jewell College (Liberty, MO)","Liberty","MO","Private not-for-profit, 4-year or above","Four or more years","No","No",724,0,0.31,0.46,0.63,0.78,0.5,12.1,10.3,"WilliamJewellCollege.html",31,76966,23039,0.0207182320441989,0,0.00276243093922652,0,0.00184162062615101,0,0.00230202578268877,0.00184162062615101,"124072","2051","798449","57080",1.5,71.9,89.1,17.6,38.1,"Temperate Grasslands, Savannas & Shrublands","Yes","Yes","Prohibited","F",0.25,0.375
"263","University of St Francis (Joliet, IL)","Joliet","IL","Private not-for-profit, 4-year or above","Four or more years","No","No",1424,208,0.23,0.46,0.62,0.81,0.64,22.2,14.4,"UniversityofStFrancis.html",91,7094,16761,0.0163398692810458,0,0.00245098039215686,0,0,0,0,0,"88389","3523","16299","3975",2,2.3,84.4,12.4,36.8,"Temperate Grasslands, Savannas & Shrublands","Yes","Yes","Legal","A-",0.777777777777778,0.833333333333333
"264","North Central College (Naperville, IL)","Naperville","IL","Private not-for-profit, 4-year or above","Four or more years","No","No",2538,201,0.15,0.54,0.69,0.78,0.64,22.5,16.1,"NorthCentralCollege.html",68,41505,26053,0.0158208591943532,0.00194718267007424,0.00206888158695388,0.0018254837531946,0,0,0.0012169891687964,0.000973591335037118,"136385","158","94307","3948169",1.4,1362.8,84.7,12.2,36.7,"Temperate Grasslands, Savannas & Shrublands","Yes","Yes","Legal","A-",0.777777777777778,0.833333333333333
"265","Mississippi College (Clinton, MS)","Clinton","MS","Private not-for-profit, 4-year or above","Four or more years","No","No",2516,1024,0.51,0.42,0.57,0.76,0.35,17.6,11.5,"MississippiCollege.html",79,18644,18800,0.00574387947269303,9.41619585687382e-05,0.00150659133709981,0.000282485875706215,9.41619585687382e-05,9.41619585687382e-05,0.000188323917137476,0,"245966","9071","200968","18930",2.4,5,91.6,34.2,52,"Temperate Broadleaf & Mixed Forests","No","No","Prohibited","F",0.25,0.25
"266","New School (New York, NY)","New York","NY","Private not-for-profit, 4-year or above","Four or more years","No","No",6697,2599,0.28,0.57,0.7,0.82,0.66,37.4,16.1,"NewSchool.html",80,40094,50908,0.0121916236374068,0,0.00236660929432014,0,0,0,0.000251004016064257,0.000107573149741824,"219459","22188","895512","1184103",3.1,121.9,84.7,24.4,45.1,"Temperate Broadleaf & Mixed Forests","Yes","Yes","Legal","A-",0.76,0.96
"267","SUNY College at Oswego (Oswego, NY)","Oswego","NY","Public, 4-year or above","Four or more years","No","No",6561,319,0.21,0.54,0.67,0.77,0.57,23.3,17.7,"SUNYCollegeatOswego.html",25,5185,16398,0.0159399224806202,0,0.0142926356589147,0.00237403100775194,0.000145348837209302,0.000145348837209302,0.00130813953488372,0.000145348837209302,"298369","7553","160131","139533",2.1,19.2,79.5,14.7,39.7,NA,"Yes","Yes","Legal","A-",0.76,0.96
"268","Hope International University (Fullerton, CA)","Fullerton","CA","Private not-for-profit, 4-year or above","Four or more years","No","No",539,329,0.43,0.37,0.54,0.72,0.69,Inf,15.9,"HopeInternationalUniversity.html",66,6287,20470,0.00268817204301075,0,0.00268817204301075,0,0,0,0,0,"52423","2560","176827","69797",5.3,77.4,86,43.2,13.3,"Mediterranean Forests, Woodlands & Scrub","No","No","Legal","A",0.792452830188679,0.886792452830189
"269","Pratt Institute-Main (Brooklyn, NY)","Brooklyn","NY","Private not-for-profit, 4-year or above","Four or more years","No","No",3570,1210,0.17,0.56,0.7,0.89,0.66,21.1,19.8,"PrattInstitute-Main.html",87,40573,47516,0.00606694560669456,0,0.00676429567642957,0,6.97350069735007e-05,0,0.000209205020920502,0.000209205020920502,"150282","134475","4007","116781",5.6,23.5,84.2,24.6,45,"Temperate Broadleaf & Mixed Forests","No","No","Legal","A-",0.76,0.96
"270","University of Delaware (Newark, DE)","Newark","DE","Public, 4-year or above","Four or more years","No","No",18378,3263,0.24,0.71,0.81,0.91,0.66,20.4,14.5,"UniversityofDelaware.html",44,63176,19747,0.0194692173805893,0.000662323059624478,0.00374289542997089,0.000508294441107158,0,0.000123222894813856,0.000200237204072517,0.000169431480369053,"2975607","1136750","706732","838112",2.7,36.6,86,22.8,43.3,"Temperate Broadleaf & Mixed Forests","Yes","Yes","Legal","B",1,1
"271","Union University (Jackson, TN)","Jackson","TN","Private not-for-profit, 4-year or above","Four or more years","No","No",1796,637,0.21,0.53,0.68,0.84,0.29,8.7,8.4,"UnionUniversity.html",65,14301,26906,0.00095903548431292,0,0.00041101520756268,0.00013700506918756,0,0,0.00013700506918756,0.00013700506918756,"139045","5527","279002","33482",5.6,12.6,89.8,27,52.8,"Temperate Broadleaf & Mixed Forests","Yes","Yes","Prohibited","F",0.222222222222222,0.222222222222222
"272","Beacon College (Leesburg, FL)","Leesburg","FL","Private not-for-profit, 4-year or above","Four or more years","No","No",408,0,0.68,0.51,0.68,0.71,0.49,Inf,11,"BeaconCollege.html",84,270,50295,0.0130718954248366,0,0.00571895424836601,0,0,0,0.00245098039215686,0.00163398692810458,"11284","912","353236","291662",9.5,655.4,91.4,45.7,48.2,"Temperate Conifer Forests","No","No","Legal","C-",0.444444444444444,0.62962962962963
"273","Whittier College (Whittier, CA)","Whittier","CA","Private not-for-profit, 4-year or above","Four or more years","No","No",1748,15,0.12,0.57,0.72,0.79,0.69,19,13.6,"WhittierCollege.html",74,64780,28647,0.00491586311211949,0.000567214974475326,0.0139913027037247,0.000189071658158442,0.000189071658158442,0,0.00094535829079221,0,"181838","4339","191763","15256",4.5,8.1,87.1,43.3,15.8,"Mediterranean Forests, Woodlands & Scrub","Yes","Yes","Legal","A",0.792452830188679,0.886792452830189
"274","CUNY John Jay College of Criminal Justice (New York, NY)","New York","NY","Public, 4-year or above","Four or more years","No","No",11200,430,0.25,0.41,0.52,0.8,0.66,30,28,"CUNYJohnJayCollegeofCriminalJustice.html",19,852,4221,0.000114646030381198,0,0.000114646030381198,0,0,0,5.7323015190599e-05,0.000257953568357696,"183341","31261","992129","472304",1.6,39.3,84.7,24.1,45.2,"Temperate Broadleaf & Mixed Forests","Yes","Yes","Legal","A-",0.76,0.96
"275","Augustana College (Rock Island, IL)","Rock Island","IL","Private not-for-profit, 4-year or above","Four or more years","No","No",2534,0,0.18,0.57,0.71,0.83,0.38,17.4,12.9,"AugustanaCollege.html",66,66301,24233,0.0582741383846356,0.00710339384372534,0.0227571691660089,0.00118389897395422,0,0,0.00328860826098395,0.000131544330439358,"124757","9918","3054","27301",8.2,10,84.9,12.7,35,"Temperate Grasslands, Savannas & Shrublands","Yes","Yes","Legal","A-",0.777777777777778,0.833333333333333
"276","Stonehill College (Easton, MA)","Easton","MA","Private not-for-profit, 4-year or above","Four or more years","No","No",2439,3,0.14,0.68,0.82,0.82,0.66,18.9,13.3,"StonehillCollege.html",66,86002,35508,0.143871143871144,0.000136500136500137,0.000136500136500137,0,0.000682500682500683,0.000136500136500137,0.0015015015015015,0.00191100191100191,"164555","684861","311718","26781",4,10.2,82.4,18,46.4,"Temperate Broadleaf & Mixed Forests","Yes","Yes","Legal","A-",1,1
"277","Birmingham-Southern College (Birmingham, AL)","Birmingham","AL","Private not-for-profit, 4-year or above","Four or more years","No","No",1201,0,0.18,0.54,0.69,0.8,0.38,14.8,11.9,"Birmingham-SouthernCollege.html",68,40210,21474,0.0183180682764363,0,0.0152650568970303,0,0.000277546489036914,0,0.00138773244518457,0.000277546489036914,"221230","34675","238930","8558",3.7,6.6,90.5,31.1,55.9,"Temperate Broadleaf & Mixed Forests","No","No","Prohibited","F",0.142857142857143,0.142857142857143
"278","University of South Carolina-Columbia (Columbia, SC)","Columbia","SC","Public, 4-year or above","Four or more years","No","No",26400,5414,0.29,0.69,0.77,0.89,0.39,23.7,15.6,"UniversityofSouthCarolina-Columbia.html",47,17179,21784,0.0207979715429266,0.000303849458309759,0.00222124431591962,0.00250413863917353,9.42981077513045e-05,1.04775675279227e-05,0.000240984053142222,0.000178118647974686,"1972913","4469878","885734","191444",2.4,5.7,91.9,33.1,47,"Temperate Conifer Forests","No","No","Functional ban","F",0.285714285714286,0.428571428571429
"279","North Park University (Chicago, IL)","Chicago","IL","Private not-for-profit, 4-year or above","Four or more years","No","No",1723,112,0.18,0.48,0.62,0.75,0.64,19.1,13.9,"NorthParkUniversity.html",68,32849,19320,0.0143505903723887,0,0.00345140781108084,0,0.00072661217075386,0,0.000181653042688465,0,"225103","8678","15935","27251",11.9,13.9,83.3,15.3,35.8,"Temperate Grasslands, Savannas & Shrublands","Yes","Yes","Legal","A-",0.777777777777778,0.833333333333333
"280","Drake University (Des Moines, IA)","Des Moines","IA","Private not-for-profit, 4-year or above","Four or more years","No","No",2830,937,0.17,0.68,0.81,0.84,0.54,11.5,9.3,"DrakeUniversity.html",61,52988,30321,0.0215910096451641,0.000176975488894788,0.00504380143350146,0.000973365188921334,0.000176975488894788,0.00088487744447394,0.00044243872223697,0.000353950977789576,"276019","8008","368181","146366",2,35.9,86.2,9.9,32.8,"Temperate Grasslands, Savannas & Shrublands","Yes","Yes","Functional ban","F",0.25,0.75
"281","School of the Art Institute of Chicago (Chicago, IL)","Chicago","IL","Private not-for-profit, 4-year or above","Four or more years","No","No",2804,633,0.17,0.57,0.7,0.82,0.64,17,15.9,"SchooloftheArtInstituteofChicago.html",86,66626,51606,0.021724372029871,0,0.0152264571816507,0,9.69838037047813e-05,0,0,0.000193967607409563,"104202","30814","107199","127943",14.6,35.4,83.5,15.4,36.6,"Temperate Grasslands, Savannas & Shrublands","Yes","Yes","Legal","A-",0.777777777777778,0.833333333333333
"282","Monroe College (Bronx, NY)","Bronx","NY","Private for-profit, 4-year or above","Four or more years","No","No",4507,467,0.4,0.48,0.6,0.82,0.66,Inf,19.3,"MonroeCollege.html",100,NA,12330,0,0,0,0,0,0,6.70151454228656e-05,6.70151454228656e-05,"38916","718","7205","33365",2.3,6.4,84.6,23.4,45.4,"Temperate Broadleaf & Mixed Forests","No","No","Legal","A-",0.76,0.96
"283","University of Vermont (Burlington, VT)","Burlington","VT","Public, 4-year or above","Four or more years","No","No",10501,1599,0.2,0.67,0.77,0.87,0.45,19.6,8.6,"UniversityofVermont.html",50,43836,20235,0.0284022038567493,0,0.013801652892562,5.50964187327824e-05,0,0,0.00129476584022039,0.00046831955922865,"1049776","48080","346406","324255",5,24.3,81,7.5,34.2,"Temperate Broadleaf & Mixed Forests","No","Yes","Legal","C-",1,1
"284","Bennington College (Bennington, VT)","Bennington","VT","Private not-for-profit, 4-year or above","Four or more years","No","No",686,97,0.22,0.61,0.76,0.83,0.34,Inf,11.8,"BenningtonCollege.html",54,46726,35386,0.0996168582375479,0,0.011068539804172,0,0.00042571306939123,0,0.00212856534695615,0.00127713920817369,"94505","8000","194000","30474",28.7,36.2,82.2,9.3,40.9,"Temperate Broadleaf & Mixed Forests","No","Yes","Legal","C-",1,1
"285","Truman State University (Kirksville, MO)","Kirksville","MO","Public, 4-year or above","Four or more years","No","No",4269,204,0.31,0.63,0.75,0.84,0.37,18.1,14.5,"TrumanStateUniversity.html",28,9979,12621,0.00141590282435353,0.00260824204486176,0.000968775616662941,0.00193755123332588,0,0,0.000894254415381176,7.45212012817647e-05,"362130","214568","403847","153749",9.6,32.2,86.9,13.8,37,"Temperate Grasslands, Savannas & Shrublands","No","No","Prohibited","F",0.25,0.375
"286","CUNY City College (New York, NY)","New York","NY","Public, 4-year or above","Four or more years","No","No",10196,842,0.15,0.46,0.56,0.84,0.66,19.2,17.9,"CUNYCityCollege.html",15,24816,4546,0.000271788367457873,0,0.000513378027420426,0.000513378027420426,3.01987074953192e-05,6.03974149906384e-05,0,0.000120794829981277,"739982","29088","944121","294521",1.8,25.4,84.9,24.1,44.7,"Temperate Broadleaf & Mixed Forests","Yes","Yes","Legal","A-",0.76,0.96
"287","Westmont College (Santa Barbara, CA)","Santa Barbara","CA","Private not-for-profit, 4-year or above","Four or more years","No","No",1312,0,0.2,0.65,0.79,0.8,0.52,17.5,15.4,"WestmontCollege.html",66,60638,32418,0.0109247967479675,0.000254065040650407,0.00330284552845528,0,0,0,0.00127032520325203,0.000762195121951219,"131860","6965","201303","132333",4.7,94.7,81.5,40.1,20.8,"Mediterranean Forests, Woodlands & Scrub","No","No","Legal","A",0.792452830188679,0.886792452830189
"288","University of San Francisco (San Francisco, CA)","San Francisco","CA","Private not-for-profit, 4-year or above","Four or more years","No","No",6296,1831,0.09,0.64,0.75,0.85,0.69,18.1,13.4,"UniversityofSanFrancisco.html",88,37082,42801,0.0100898240433124,0.000123046634674542,0.00348632131577868,0.000615233173372708,4.10155448915139e-05,0.000123046634674542,0.000574217628481194,8.20310897830278e-05,"532484","133289","758493","326198",6.2,37.9,71.2,43.5,26.4,"Mediterranean Forests, Woodlands & Scrub","Yes","Yes","Legal","A",0.792452830188679,0.886792452830189
"289","University of Maryland-Baltimore County (Baltimore, MD)","Baltimore","MD","Public, 4-year or above","Four or more years","No","No",9436,1257,0.24,0.61,0.71,0.87,0.58,23.2,17,"UniversityofMaryland-BaltimoreCounty.html",26,8910,16868,0.0063904735185012,0,3.11730415536644e-05,0.000155865207768322,0,9.35191246609932e-05,0.00077932603884161,0.000685806914180617,"830054","123247","164269","48748",2.4,4.3,88.3,23.7,43,"Temperate Broadleaf & Mixed Forests","Yes","Yes","Legal","A-",0.875,0.875
"290","University of Utah (Salt Lake City, UT)","Salt Lake City","UT","Public, 4-year or above","Four or more years","No","No",18628,6514,0.28,0.62,0.7,0.89,0.69,11.5,8.4,"UniversityofUtah.html",17,36662,12881,0.0109776469652375,0.000172354360565322,0.003539893405457,0.00159096332829528,3.97740832073821e-05,7.95481664147641e-05,0.000570095192639143,0.000835255747355023,"2643394","297126","1109536","13187778",5.9,481.9,90.5,17.2,20.1,"Deserts & Xeric Shrublands","No","Yes","Prohibited","F",0,1
"291","Luther College (Decorah, IA)","Decorah","IA","Private not-for-profit, 4-year or above","Four or more years","No","No",1930,0,0.21,0.62,0.75,0.84,NA,14.5,12,"LutherCollege.html",60,77847,25291,0.0656303972366149,0,0.00379965457685665,0.00518134715025907,0,0,0.00552677029360967,0.00172711571675302,"211467","10283","382573","112993",5.4,54,83.7,4.6,32,"Temperate Broadleaf & Mixed Forests","No","No","Functional ban","F",0.25,0.75
"292","Avila University (Kansas City, MO)","Kansas City","MO","Private not-for-profit, 4-year or above","Four or more years","No","No",990,282,0.22,0.41,0.55,0.74,0.5,18.3,15.5,"AvilaUniversity.html",79,7163,18711,0.00969601677148847,0,0.00445492662473795,0,0.000524109014675052,0,0.000786163522012579,0.000786163522012579,"40381","2219","254479","1830",0.9,1.4,88.7,18.5,37.9,"Temperate Grasslands, Savannas & Shrublands","No","No","Prohibited","F",0.25,0.375
"293","SUNY at Albany (Albany, NY)","Albany","NY","Public, 4-year or above","Four or more years","No","No",12568,2108,0.18,0.54,0.63,0.8,0.53,22.8,18.8,"SUNYatAlbany.html",21,4625,17486,0.00758608158444626,4.54256382302171e-05,0.0105841737076406,0.00481511765240302,0.00015898973380576,0.000204415372035977,0.00113564095575543,0.000386117924956846,"1332536","9964","533284","267352",4.5,17.4,83.3,12.4,37.3,"Temperate Broadleaf & Mixed Forests","Yes","Yes","Legal","A-",0.76,0.96
"294","University of Dayton (Dayton, OH)","Dayton","OH","Private not-for-profit, 4-year or above","Four or more years","No","No",8046,2141,0.16,0.72,0.82,0.89,0.53,18,12.2,"UniversityofDayton.html",42,57482,32768,0.0570007525931743,0.00137430057916953,0.0083766892444619,0.000523543077778869,0,6.54428847223586e-05,0.00127613625208599,0.000392657308334151,"590576","18020","1114202","130298",1.7,12,86.2,19.4,38.4,"Temperate Broadleaf & Mixed Forests","Yes","Yes","Functional ban","D",0.3125,0.5
"295","Massachusetts College of Art and Design (Boston, MA)","Boston","MA","Public, 4-year or above","Four or more years","No","No",1682,96,0.21,0.58,0.71,0.85,0.65,17.9,13.9,"MassachusettsCollegeofArtandDesign.html",34,7716,23396,0.00562429696287964,0,0.01106111736033,0,0.000749906261717285,0,0.000374953130858643,0.000374953130858643,"87665","4468","177160","72221",7.7,38,82.8,18,44.3,"Temperate Broadleaf & Mixed Forests","No","Yes","Legal","A-",1,1
"296","CUNY Brooklyn College (Brooklyn, NY)","Brooklyn","NY","Public, 4-year or above","Four or more years","No","No",11189,544,0.16,0.45,0.54,0.8,0.66,24.1,22.2,"CUNYBrooklynCollege.html",21,6580,4736,5.68197960169323e-05,0,0.000142049490042331,0,2.84098980084662e-05,0,0,0,"685354","53758","751897","308290",2.7,25.2,83.8,24.8,44.5,"Temperate Broadleaf & Mixed Forests","Yes","Yes","Legal","A-",0.76,0.96
"297","Pomeroy College of Nursing at Crouse Hospital (Syracuse, NY)","Syracuse","NY","Private not-for-profit, 2-year","At least 2 but less than 4 years","No","No",70,0,0.59,0.44,0.6,0.62,0.57,Inf,4.4,"PomeroyCollegeofNursingatCrouseHospital.html",72,NA,20659,0,0,0,0.0238095238095238,0,0.00952380952380952,0,0,"2788","120","320","2875",4.4,33.4,81.3,14.4,39.9,"Temperate Broadleaf & Mixed Forests","No","No","Legal","A-",0.76,0.96
"298","Beloit College (Beloit, WI)","Beloit","WI","Private not-for-profit, 4-year or above","Four or more years","No","No",1082,0,0.11,0.62,0.75,0.79,0.6,13.7,11.3,"BeloitCollege.html",62,106665,24419,0.0218730745532964,0.000924214417744917,0.0459026494146642,0.000616142945163278,0.000308071472581639,0,0.00431300061614295,0.00123228589032656,"207940","11411","266291","154523",11.8,131.2,83.7,8.8,33.9,"Temperate Broadleaf & Mixed Forests","Yes","Yes","Prohibited","C-",0.375,0.5
"299","Samaritan Hospital School of Nursing (Troy, NY)","Troy","NY","Private not-for-profit, 2-year","At least 2 but less than 4 years","No","No",9,0,0.6,0.83,1,1,0.53,Inf,Inf,"SamaritanHospitalSchoolofNursing.html",47,NA,25901,0,0,0,0,0,0,0,0,"1053","63","606","2539",101.9,282.1,84.2,12.9,36.6,"Temperate Broadleaf & Mixed Forests","No","No","Legal","A-",0.76,0.96
"300","James Madison University (Harrisonburg, VA)","Harrisonburg","VA","Public, 4-year or above","Four or more years","No","No",18798,1048,0.25,0.77,0.84,0.89,0.32,22.8,17.6,"JamesMadisonUniversity.html",55,5231,18592,0.0302495884981021,0.00102455574591017,0.00250260337935436,0.00287211528771541,0,0,0.000419899895864826,0.000251939937518895,"490601","39825","432232","179132",1.9,8.6,85.6,21,37.2,"Temperate Broadleaf & Mixed Forests","No","Yes","Legal","B",0.636363636363636,0.636363636363636
"301","Rose-Hulman Institute of Technology (Terre Haute, IN)","Terre Haute","IN","Private not-for-profit, 4-year or above","Four or more years","No","No",1980,18,0.16,0.74,0.86,0.9,0.35,11.6,10.6,"Rose-HulmanInstituteofTechnology.html",66,108211,43606,0,0,0,0,0,0,0.000333667000333667,0.000166833500166834,"26524","1491","552296","630341",1.8,288.6,86.7,17.6,40.7,"Temperate Broadleaf & Mixed Forests","No","No","Legal","D-",0.222222222222222,0.222222222222222
"302","Bard College (Annandale-On-Hudson, NY)","Annandale-On-Hudson","NY","Private not-for-profit, 4-year or above","Four or more years","No","No",1901,304,0.15,0.65,0.77,0.85,0.35,12.8,9.5,"BardCollege.html",38,55958,25484,0.0142101284958428,0,0.0170823885109599,0,0,0,0.00393046107331822,0.00287226001511716,"339384","5237","611393","39826",11.1,16.6,84,14,41.9,"Temperate Broadleaf & Mixed Forests","Yes","Yes","Legal","A-",0.76,0.96
"303","Inter American University of Puerto Rico-Ponce (Mercedita, PR)","Mercedita","PR","Private not-for-profit, 4-year or above","Four or more years","No","No",3308,221,0.96,0.33,0.44,0.75,0.24,37.2,33.1,"InterAmericanUniversityofPuertoRico-Ponce.html",89,NA,7803,0,0,0,0,0,0,0,0,"55190","2248","263739","53588",0.9,14.8,91,65.8,35.3,"Tropical & Subtropical Dry Broadleaf Forests","No","Yes",NA,NA,NA,NA
"304","Concorde Career College-Aurora (Aurora, CO)","Aurora","CO","Private for-profit, 2-year","At least 2 but less than 4 years","No","No",423,0,0.41,0.62,0.76,0.71,0.64,Inf,16.9,"ConcordeCareerCollege-Aurora.html",79,NA,19767,0,0,0,0,0,0,0,0,"434","47","0","417",0,0.9,87.3,16.5,16.2,"Temperate Grasslands, Savannas & Shrublands","No","No","Legal","B",0.571428571428571,0.571428571428571
"305","Manhattan Christian College (Manhattan, KS)","Manhattan","KS","Private not-for-profit, 4-year or above","Four or more years","No","No",143,0,0.7,0.44,0.59,0.61,0.35,Inf,15.9,"ManhattanChristianCollege.html",57,16959,22304,0,0,0,0,0,0,0,0,"33172","1370","4564","5003",14.5,32.9,91.2,15.4,33.7,"Temperate Grasslands, Savannas & Shrublands","No","No","Legal","F",0.25,0.25
"306","Mississippi State University (Mississippi State, MS)","Mississippi State","MS","Public, 4-year or above","Four or more years","No","No",17113,1838,0.35,0.54,0.61,0.82,0.29,23.8,18,"MississippiStateUniversity.html",27,24883,16402,0.00517123106960055,0.000668390410356534,0.00160061914059065,0.00179410057516754,0.000158302991926547,3.51784426503439e-05,0.000386962869153783,0.000140713770601375,"1934226","126227","295101","1084756",2.1,54.5,90.5,32,55.9,"Temperate Broadleaf & Mixed Forests","No","No","Prohibited","F",0.25,0.25
"307","Allegheny College (Meadville, PA)","Meadville","PA","Private not-for-profit, 4-year or above","Four or more years","No","No",1713,0,0.15,0.62,0.74,0.86,0.26,14.3,11.3,"AlleghenyCollege.html",42,137011,26376,0.0385288966725044,0.000972951936174353,0.0229616656937147,0.000972951936174353,0.000972951936174353,0,0.00389180774469741,0.00155672309787896,"288316","5726","506438","19234",5.9,10.3,80.6,14.7,43.7,"Temperate Broadleaf & Mixed Forests","No","Yes","Legal","B-",0.555555555555556,0.666666666666667
"308","University of the South (Sewanee, TN)","Sewanee","TN","Private not-for-profit, 4-year or above","Four or more years","No","No",1671,59,0.19,0.67,0.79,0.88,0.24,11.5,9.3,"UniversityoftheSouth.html",48,223006,36244,0.0928709055876686,0.0173410404624277,0.0447013487475915,0.01252408477842,0.00289017341040462,0.000578034682080925,0.00789980732177264,0.00269749518304432,"522116","116949","574014","121351",20.1,63.6,84.2,25,61.9,"Temperate Broadleaf & Mixed Forests","Yes","Yes","Prohibited","F",0.222222222222222,0.222222222222222
